id	feature	kind	query	baseline_file	target_file	baseline_definition	target_definition	test	obsolete_locations	disposition
scroll-width-intent	SetScrollWidth	intent	make horizontal scrolling extend farther than the longest visible line	scintilla/src/Editor.cxx	scintilla/src/EditorScrolling.cxx	case Message::SetScrollWidth	Editor::SetScrollWidth	scintilla/test/editor/EditorScrollingTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
scroll-width-effect	SetScrollWidth	effect	changing scroll width updates the horizontal scrollbar	scintilla/src/Editor.cxx	scintilla/src/EditorScrolling.cxx	case Message::SetScrollWidth	Editor::SetScrollWidth	scintilla/test/editor/EditorScrollingTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
read-only-exact	SetReadOnly	exact	SetReadOnly	scintilla/src/Editor.cxx	scintilla/src/EditorDocument.cxx	case Message::SetReadOnly	Editor::SetReadOnly	scintilla/test/editor/EditorDocumentTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
read-only-spaced	SetReadOnly	spaced	set read only	scintilla/src/Editor.cxx	scintilla/src/EditorDocument.cxx	case Message::SetReadOnly	Editor::SetReadOnly	scintilla/test/editor/EditorDocumentTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
read-only-intent	SetReadOnly	intent	prevent the document from being edited	scintilla/src/Editor.cxx	scintilla/src/EditorDocument.cxx	case Message::SetReadOnly	Editor::SetReadOnly	scintilla/test/editor/EditorDocumentTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
read-only-effect	SetReadOnly	effect	reject text modifications and notify about a read only edit	scintilla/src/Editor.cxx	scintilla/src/EditorDocument.cxx	case Message::SetReadOnly	Editor::SetReadOnly	scintilla/test/editor/EditorDocumentTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
mod-event-mask-exact	SetModEventMask	exact	SetModEventMask	scintilla/src/Editor.cxx	scintilla/src/EditorNotifications.cxx	case Message::SetModEventMask	Editor::SetModEventMask	scintilla/test/editor/EditorNotificationsTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
mod-event-mask-spaced	SetModEventMask	spaced	set modification event mask	scintilla/src/Editor.cxx	scintilla/src/EditorNotifications.cxx	case Message::SetModEventMask	Editor::SetModEventMask	scintilla/test/editor/EditorNotificationsTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
mod-event-mask-intent	SetModEventMask	intent	choose which document changes send notifications	scintilla/src/Editor.cxx	scintilla/src/EditorNotifications.cxx	case Message::SetModEventMask	Editor::SetModEventMask	scintilla/test/editor/EditorNotificationsTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
mod-event-mask-effect	SetModEventMask	effect	filter modification notifications with an event mask	scintilla/src/Editor.cxx	scintilla/src/EditorNotifications.cxx	case Message::SetModEventMask	Editor::SetModEventMask	scintilla/test/editor/EditorNotificationsTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
search-target-exact	SearchInTarget	exact	SearchInTarget	scintilla/src/Editor.cxx	scintilla/src/EditorSearch.cxx	Editor::SearchInTarget	Editor::SearchInTarget	scintilla/test/editor/EditorSearchTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
search-target-spaced	SearchInTarget	spaced	search in target	scintilla/src/Editor.cxx	scintilla/src/EditorSearch.cxx	Editor::SearchInTarget	Editor::SearchInTarget	scintilla/test/editor/EditorSearchTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
search-target-intent	SearchInTarget	intent	search within the current target range	scintilla/src/Editor.cxx	scintilla/src/EditorSearch.cxx	Editor::SearchInTarget	Editor::SearchInTarget	scintilla/test/editor/EditorSearchTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
search-target-effect	SearchInTarget	effect	move the target range to the matching text	scintilla/src/Editor.cxx	scintilla/src/EditorSearch.cxx	Editor::SearchInTarget	Editor::SearchInTarget	scintilla/test/editor/EditorSearchTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
undo-exact	Undo	exact	Undo	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::Undo	case EditorCommand::Undo	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
undo-spaced	Undo	spaced	undo command	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::Undo	case EditorCommand::Undo	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
undo-intent	Undo	intent	undo the most recent document change	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::Undo	case EditorCommand::Undo	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
undo-effect	Undo	effect	restore text and selection from undo history	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::Undo	case EditorCommand::Undo	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
line-down-exact	LineDown	exact	LineDown	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::LineDown	case EditorCommand::LineDown	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
line-down-spaced	LineDown	spaced	line down	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::LineDown	case EditorCommand::LineDown	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
line-down-intent	LineDown	intent	move the caret down one visual line	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::LineDown	case EditorCommand::LineDown	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
line-down-effect	LineDown	effect	preserve the chosen horizontal caret position while moving down	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::LineDown	case EditorCommand::LineDown	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
autocomplete-show-exact	AutoCShow	exact	AutoCShow	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorAutocomplete.cxx	case Message::AutoCShow	ScintillaBase::AutoCShow	scintilla/test/editor/EditorAutocompleteTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
autocomplete-show-spaced	AutoCShow	spaced	auto c show	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorAutocomplete.cxx	case Message::AutoCShow	ScintillaBase::AutoCShow	scintilla/test/editor/EditorAutocompleteTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
autocomplete-show-intent	AutoCShow	intent	show an autocomplete list at the caret	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorAutocomplete.cxx	case Message::AutoCShow	ScintillaBase::AutoCShow	scintilla/test/editor/EditorAutocompleteTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
autocomplete-show-effect	AutoCShow	effect	open a completion popup after already typed characters	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorAutocomplete.cxx	case Message::AutoCShow	ScintillaBase::AutoCShow	scintilla/test/editor/EditorAutocompleteTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
call-tip-show-exact	CallTipShow	exact	CallTipShow	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorCallTips.cxx	ScintillaBase::CallTipShow	ScintillaBase::CallTipShow	scintilla/test/editor/EditorCallTipsTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
call-tip-show-spaced	CallTipShow	spaced	call tip show	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorCallTips.cxx	ScintillaBase::CallTipShow	ScintillaBase::CallTipShow	scintilla/test/editor/EditorCallTipsTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
call-tip-show-intent	CallTipShow	intent	show a call tip near the caret	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorCallTips.cxx	ScintillaBase::CallTipShow	ScintillaBase::CallTipShow	scintilla/test/editor/EditorCallTipsTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
call-tip-show-effect	CallTipShow	effect	cancel autocomplete and open the call tip window	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorCallTips.cxx	ScintillaBase::CallTipShow	ScintillaBase::CallTipShow	scintilla/test/editor/EditorCallTipsTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
format-range-exact	FormatRange	exact	FormatRange	scintilla/src/Editor.cxx	scintilla/src/EditorPrinting.cxx	Editor::FormatRange	Editor::FormatRange	scintilla/test/editor/EditorPrintingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
format-range-spaced	FormatRange	spaced	format range	scintilla/src/Editor.cxx	scintilla/src/EditorPrinting.cxx	Editor::FormatRange	Editor::FormatRange	scintilla/test/editor/EditorPrintingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
format-range-intent	FormatRange	intent	lay out a document range for printing	scintilla/src/Editor.cxx	scintilla/src/EditorPrinting.cxx	Editor::FormatRange	Editor::FormatRange	scintilla/test/editor/EditorPrintingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
format-range-effect	FormatRange	effect	measure and draw text inside a print rectangle	scintilla/src/Editor.cxx	scintilla/src/EditorPrinting.cxx	Editor::FormatRange	Editor::FormatRange	scintilla/test/editor/EditorPrintingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
technology-exact	SetTechnology	exact	SetTechnology	scintilla/src/Editor.cxx	MESSAGE_REMOVAL.md	case Message::SetTechnology	SetTechnology	scintilla/test/editor/EditorDrawingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	delete
technology-spaced	SetTechnology	spaced	set technology	scintilla/src/Editor.cxx	MESSAGE_REMOVAL.md	case Message::SetTechnology	SetTechnology	scintilla/test/editor/EditorDrawingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	delete
technology-intent	SetTechnology	intent	select the drawing backend	scintilla/src/Editor.cxx	MESSAGE_REMOVAL.md	case Message::SetTechnology	SetTechnology	scintilla/test/editor/EditorDrawingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	delete
technology-effect	SetTechnology	effect	recreate style resources for a different drawing technology	scintilla/src/Editor.cxx	MESSAGE_REMOVAL.md	case Message::SetTechnology	SetTechnology	scintilla/test/editor/EditorDrawingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	delete
